,Unnamed: 0.1,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References,Density,Cell#
0,0,1337,1971,3,3,2,15,59.0,22.15,59.26,20.0,Out of all Provinces,6,5.1,5.0,,,5.3,,5.3,ISC-EHB,NEIC,NEIC,,,ISC-GEM,,0.2,,,,10,49
1,1,15536,2017,4,27,21,27,29.3,22.4,61.13,10.0,Out of all Provinces,6,4.8,4.8,4.9,,4.9,,4.9,IRSC,NEIC,NEIC,IRSC,,GCMT,,0.1,,,,10,55
2,2,16284,2018,1,27,11,1,39.0,22.54,61.56,10.0,Out of all Provinces,6,4.3,,4.2,,,4.2,4.2,IRSC,NEIC,,IRSC,,,Equation(7),,0.1482,,,10,122
3,3,11757,2013,1,5,22,54,35.0,22.49,63.02,10.0,Out of all Provinces,6,4.0,,,,,4.0,4.0,ISC-EHB,ISC,,,,,Equation(3),,0.1738,,,10,126
4,4,6780,2006,11,16,9,36,26.8,22.64,63.28,15.0,Out of all Provinces,6,5.2,4.7,,,5.3,,5.3,ISC-EHB,NEIC,NEIC,,,GCMT,,0.1,,,,10,127
5,5,599,1939,2,25,5,5,25.0,22.71,59.46,15.0,Out of all Provinces,6,,,,,5.5,,5.5,ISC-GEM,,,,,ISC-GEM,,0.44,,,,10,180
6,6,3406,1992,7,19,3,58,1.0,23.29,63.96,24.0,Out of all Provinces,6,4.7,4.4,,,,4.8,4.8,ISC-EHB,ISC,M2014,,,,Equation(3),,0.174,,,10,259
7,7,1097,1966,11,12,8,28,22.0,23.3,61.6,33.0,Out of all Provinces,6,4.7,4.4,,,,4.8,4.8,NEIC,NEIC,M2014,,,,Equation(3),,0.174,,,10,317
8,8,14426,2016,1,25,21,51,42.0,23.38,62.21,10.0,Out of all Provinces,6,4.2,3.0,,,,4.2,4.2,ISC      ,ISC,ISC,,,,Equation(3),,0.1738,,,10,319
9,9,11946,2013,3,21,8,31,54.0,23.58,63.66,10.0,Out of all Provinces,6,4.4,,4.6,,,4.6,4.6,IRSC,ISC,,IRSC,,,Equation(7),,0.1481,,,10,323
10,10,9900,2010,8,22,15,48,28.0,23.74,49.14,10.0,Out of all Provinces,6,4.0,3.4,,,,4.0,4.0,ISC,ISC,ISC,,,,Equation(3),,0.1738,,,10,342
11,11,13535,2015,1,29,19,12,25.0,23.81,49.13,10.0,Out of all Provinces,6,4.2,3.7,,,,4.2,4.2,ISC      ,ISC,ISC,,,,Equation(3),,0.1738,,,10,342
12,12,5393,2003,3,25,16,6,38.0,23.71,49.8,18.0,Out of all Provinces,6,,,3.6,,,4.1,4.1,IRSC,,,IRSC,,,Equation(6),,0.3386,,,10,345
13,13,11284,2012,6,1,11,3,40.0,23.68,61.96,10.0,Out of all Provinces,6,4.9,,,,4.9,,4.9,ISC-EHB,ISC,,,,GCMT,,0.1,,,,10,383
14,14,17063,2018,12,5,4,10,27.0,23.68,63.99,13.6,Out of all Provinces,6,4.5,,,,,4.6,4.6,NEIC,NEIC,,,,,Equation(3),,0.1739,,,10,389
15,15,6448,2006,6,2,20,33,15.0,23.89,48.85,35.2,Out of all Provinces,6,3.8,3.3,4.2,,,4.2,4.2,IRSC,ISC,ISC,IRSC,,,Equation(7),,0.1482,,,10,407
16,16,4311,1999,6,3,17,57,39.0,24.13,61.21,10.0,Out of all Provinces,6,4.2,3.7,,,,4.2,4.2,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,445
17,17,13791,2015,5,14,16,1,21.3,23.97,61.21,15.0,Out of all Provinces,6,5.3,5.3,5.3,5.5,5.0,,5.0,ISC-EHB,NEIC,NEIC,IRSC,IIEES,GCMT,,0.1,,,,10,445
18,18,13798,2015,5,17,11,16,53.2,23.93,61.24,12.2,Out of all Provinces,6,5.1,5.1,5.2,5.4,5.0,,5.0,ISC-EHB,NEIC,NEIC,IRSC,IIEES,GCMT,,0.1,,,,10,446
19,19,2790,1987,1,1,4,31,44.0,24.44,63.31,33.0,Out of all Provinces,6,4.5,4.1,,,,4.6,4.6,ISC,ISC,M2014,,,,Equation(3),,0.1739,,,10,517
20,20,4039,1997,9,8,6,31,37.0,24.22,63.26,26.0,Out of all Provinces,6,4.4,3.9,,,,4.5,4.5,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1738,,,10,517
21,21,11754,2013,1,5,5,58,21.0,24.66,61.88,10.0,Makran,4,4.6,,4.1,,,4.1,4.1,IRSC,ISC,,IRSC,,,Equation(7),,0.1482,,,10,578
22,22,1488,1973,10,27,9,50,37.0,24.57,62.17,33.0,Makran,4,4.7,4.4,,,,4.8,4.8,ISC,ISC,M2014,,,,Equation(3),,0.174,,,10,579
23,23,4125,1998,3,13,15,29,4.0,24.67,62.19,14.0,Makran,4,4.0,3.4,,,,4.0,4.0,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,579
24,24,12253,2013,7,29,14,53,32.0,24.6,62.59,20.0,Makran,4,4.4,,4.5,,,4.5,4.5,IRSC,ISC,,IRSC,,,Equation(7),,0.1481,,,10,580
25,25,1375,1971,11,5,14,55,51.0,24.68,63.07,25.0,Makran,4,4.9,4.7,,,,5.1,5.1,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1742,,,10,581
26,26,3298,1991,8,28,0,51,53.0,24.68,62.82,33.0,Makran,4,4.5,4.1,,,,4.6,4.6,ISC,ISC,M2014,,,,Equation(3),,0.1739,,,10,581
27,27,4994,2002,1,9,14,2,28.0,24.81,56.09,15.0,Out of all Provinces,6,4.3,3.8,,,,4.3,4.3,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1738,,,10,624
28,28,253,1901,8,6,18,35,0.0,25.0,58.0,,Makran,4,,6.2,,,6.2,,6.2,A2001,,A2001,,,A2001,,0.5,,,,10,630
29,29,5049,2002,3,10,4,55,15.0,25.03,58.07,15.0,Makran,4,4.1,3.3,,,,4.1,4.1,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1738,,,10,631
30,30,11146,2012,3,29,19,3,48.0,24.94,60.72,35.0,Makran,4,3.9,,,,,3.9,3.9,ISC,ISC,,,,,Equation(3),,0.1738,,,10,639
31,31,11662,2012,11,30,8,8,14.0,25.01,60.85,46.2,Makran,4,4.3,,4.2,,,4.2,4.2,IRSC,ISC,,IRSC,,,Equation(7),,0.1482,,,10,639
32,32,1415,1972,8,6,1,12,51.0,24.99,61.13,20.0,Makran,4,5.4,5.4,,,5.7,,5.7,ISC-EHB,ISC,ISC,,,ISC-GEM,,0.2,,,,10,640
33,33,1947,1979,3,18,11,0,28.0,24.86,61.15,33.0,Makran,4,4.1,3.5,,,,4.1,4.1,ISC,ISC,M2014,,,,Equation(3),,0.1738,,,10,640
34,34,4824,2001,8,4,14,7,47.0,24.99,61.47,28.0,Makran,4,4.3,3.6,,,,4.3,4.3,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1738,,,10,641
35,35,8375,2008,10,16,10,26,35.0,24.96,61.41,10.0,Makran,4,4.0,3.4,,,,4.0,4.0,ISC,ISC,ISC,,,,Equation(3),,0.1738,,,10,641
36,36,6622,2006,9,9,12,22,7.0,25.02,62.11,28.0,Makran,4,4.6,3.9,,,,4.7,4.7,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1739,,,10,643
37,37,13933,2015,7,5,11,51,55.0,25.0,62.1,10.0,Makran,4,,3.0,,,,3.9,3.9,ISC      ,,ISC      ,,,,Equation(5),,0.2594,,,10,643
38,38,14832,2016,7,12,10,11,17.0,25.02,61.99,10.0,Makran,4,4.3,,,,,4.3,4.3,ISC      ,ISC,,,,,Equation(3),,0.1738,,,10,643
39,39,1226,1969,2,13,11,11,25.0,24.97,62.71,27.0,Makran,4,5.1,5.0,,,,5.3,5.3,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1745,,,10,645
40,40,1731,1977,1,27,0,20,41.0,24.81,62.5,15.0,Makran,4,4.8,4.5,,,,4.9,4.9,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1741,,,10,645
41,41,12284,2013,8,13,13,3,47.0,24.97,62.66,10.0,Makran,4,4.0,,,,,4.0,4.0,ISC,ISC,,,,,Equation(3),,0.1738,,,10,645
42,42,12478,2013,11,10,13,38,22.0,25.0,62.75,35.0,Makran,4,4.0,,,,,4.0,4.0,ISC,ISC,,,,,Equation(3),,0.1738,,,10,645
43,43,2926,1988,3,14,2,26,40.0,24.98,62.93,24.0,Makran,4,4.7,4.4,,,,4.8,4.8,ISC-EHB,ISC,M2014,,,,Equation(3),,0.174,,,10,646
44,44,3469,1993,2,4,19,41,32.0,24.84,62.85,25.0,Makran,4,5.1,4.8,,,,5.3,5.3,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1745,,,10,646
